section_id,hour_of_day,weekday,expected_trains_per_hour
SEC-AWR-BKI,0,0,0.0
SEC-AWR-BKI,1,0,0.0
SEC-AWR-BKI,2,0,0.0
SEC-AWR-BKI,3,0,0.0
SEC-AWR-BKI,4,0,0.0
SEC-AWR-BKI,5,0,0.0
SEC-AWR-BKI,6,0,1.923077
SEC-AWR-BKI,7,0,1.076923
SEC-AWR-BKI,8,0,1.923077
SEC-AWR-BKI,9,0,1.076923
SEC-AWR-BKI,10,0,2.0
SEC-AWR-BKI,11,0,1.846154
SEC-AWR-BKI,12,0,2.076923
SEC-AWR-BKI,13,0,2.076923
SEC-AWR-BKI,14,0,2.0
SEC-AWR-BKI,15,0,1.0
SEC-AWR-BKI,16,0,1.0
SEC-AWR-BKI,17,0,2.0
SEC-AWR-BKI,18,0,0.0
SEC-AWR-BKI,19,0,0.0
SEC-AWR-BKI,20,0,0.0
SEC-AWR-BKI,21,0,0.0
SEC-AWR-BKI,22,0,0.0
SEC-AWR-BKI,23,0,0.0
SEC-AWR-BKI,0,1,0.0
SEC-AWR-BKI,1,1,0.0
SEC-AWR-BKI,2,1,0.0
SEC-AWR-BKI,3,1,0.0
SEC-AWR-BKI,4,1,0.0
SEC-AWR-BKI,5,1,0.0
SEC-AWR-BKI,6,1,1.833333
SEC-AWR-BKI,7,1,1.166667
SEC-AWR-BKI,8,1,2.0
SEC-AWR-BKI,9,1,1.0
SEC-AWR-BKI,10,1,2.0
SEC-AWR-BKI,11,1,1.916667
SEC-AWR-BKI,12,1,2.0
SEC-AWR-BKI,13,1,2.083333
SEC-AWR-BKI,14,1,2.0
SEC-AWR-BKI,15,1,0.0
SEC-AWR-BKI,16,1,2.0
SEC-AWR-BKI,17,1,1.166667
SEC-AWR-BKI,18,1,0.833333
SEC-AWR-BKI,19,1,0.0
SEC-AWR-BKI,20,1,0.0
SEC-AWR-BKI,21,1,0.0
SEC-AWR-BKI,22,1,0.0
SEC-AWR-BKI,23,1,0.0
SEC-AWR-BKI,0,2,0.0
SEC-AWR-BKI,1,2,0.0
SEC-AWR-BKI,2,2,0.0
SEC-AWR-BKI,3,2,0.0
SEC-AWR-BKI,4,2,0.0
SEC-AWR-BKI,5,2,0.0
SEC-AWR-BKI,6,2,1.846154
SEC-AWR-BKI,7,2,1.153846
SEC-AWR-BKI,8,2,1.923077
SEC-AWR-BKI,9,2,1.076923
SEC-AWR-BKI,10,2,2.0
SEC-AWR-BKI,11,2,1.769231
SEC-AWR-BKI,12,2,2.153846
SEC-AWR-BKI,13,2,2.076923
SEC-AWR-BKI,14,2,2.0
SEC-AWR-BKI,15,2,1.0
SEC-AWR-BKI,16,2,1.0
SEC-AWR-BKI,17,2,2.0
SEC-AWR-BKI,18,2,0.0
SEC-AWR-BKI,19,2,0.0
SEC-AWR-BKI,20,2,0.0
SEC-AWR-BKI,21,2,0.0
SEC-AWR-BKI,22,2,0.0
SEC-AWR-BKI,23,2,0.0
SEC-AWR-BKI,0,3,0.0
SEC-AWR-BKI,1,3,0.0
SEC-AWR-BKI,2,3,0.0
SEC-AWR-BKI,3,3,0.0
SEC-AWR-BKI,4,3,0.0
SEC-AWR-BKI,5,3,0.0
